card_name,issuer,card_type,annual_fee,annual_fee_year_1,annual_fee_year_2_plus,reward_model,card_family,cashback_rate_display,cashback_rate_effective,signup_bonus,min_spend_amount_usd,min_spend_timeframe,signup_bonus_type,estimated_bonus_value_usd,intro_apr_purchase,foreign_tx_fee,best_for,why_this_card_exiss,pros,cons
Chase Freedom Unlimited,Chase,personal,0,0,0,cashback,Freedom ,5 / 3 / 1.5,1.8,200,500.0,3 months,dollars,200,0% for 15 months,Yes,Everyday spending with no annual fee and solid category bonuses,Bridges no-fee simplicity with Chase Ultimate Rewards ecosystem for future flexibility,Strong rotating 5% categories; 1.5% base rate; intro APR; pairs with Sapphire for travel redemptions,Foreign transaction fee; requires activation for 5% categories; bonus caps apply
Chase Freedom Flex,Chase,personal,0,0,0,cashback,Freedom ,5 / 3 / 1,1.6,200,500.0,3 months,dollars,200,0% for 15 months,Yes,Maximizing quarterly 5% categories without annual fee,Offers high earning potential in rotating categories for organized spenders,Up to 5% in quarterly categories; strong drug store and dining rates; intro APR,Requires quarterly activation; $1500 category cap; foreign transaction fee; must track categories
Chase Amazon Prime Visa,Chase,personal,0,0,0,cashback,,5 / 2 / 1,1.8,150,,,dollars,150,,Yes,Heavy Amazon shoppers and Prime members,Captures Amazon's massive user base with best-in-class earning on Amazon purchases,5% back at Amazon and Whole Foods; 2% restaurants gas drugstores; no annual fee beyond Prime,Requires active Amazon Prime membership; foreign transaction fee; value drops significantly without Prime
Chase Freedom Rise,Chase,personal,0,0,0,cashback,Freedom ,1.5,1.5,0,,,,"",0,,Yes,Credit builders seeking simple flat-rate rewards,Entry point into Chase ecosystem for customers with limited or rebuilding credit,No annual fee; automatic approval consideration for fair credit; straightforward 1.5% earning,Low rewards rate; foreign transaction fee; minimal perks; no intro APR offer
Chase Sapphire Preferred,Chase,personal,95,95,95,travel,Sapphire ,,0.5,60000,4000.0,3 months,points,600,,No,Travelers wanting premium perks without luxury-tier fees,Gateway travel card balancing strong earning transfer partners and manageable annual fee,60k+ welcome offer; transferable points to airlines/hotels; strong dining and travel multipliers; no FX fee,$95 annual fee; travel redemptions favor Chase portal or transfers; less lounge access than Reserve
Chase Sapphire Reserve,Chase,personal,550,550,550,travel,Sapphire ,,0.5,60000,4000.0,3 months,points,600,,No,Frequent travelers who value lounge access and premium travel benefits,Flagship personal travel card for customers prioritizing experience over cost,$300 annual travel credit; Priority Pass lounge access; 1.5× portal redemption boost; strong protections,$550 annual fee justifies only with heavy travel; benefits require optimization; needs high spend
Chase Ink Cash,Chase,business,0,0,0,cashback,Ink ,5 / 2 / 1,2.0,750,6000.0,3 months,dollars,750,0% for 12 months,Yes,Small businesses with heavy office supply telecom or gas spending,Maximizes cash back in core small-business spend categories without annual cost,5% on office supplies internet/cable/phone (up to $25k); intro APR; no annual fee,5% categories capped at $25k/year combined; foreign transaction fee; not ideal outside bonus categories
Chase Ink Unlimited,Chase,business,0,0,0,cashback,Ink ,1.5,1.5,750,6000.0,3 months,dollars,750,0% for 12 months,Yes,Businesses wanting simple flat-rate cash back on all purchases,Simplifies business spend tracking with unlimited flat earning and no annual fee,Unlimited 1.5% on all purchases; intro APR for large purchases; no annual fee,No category bonuses; foreign transaction fee; lower ceiling than category-optimized cards
United Gateway Card,Chase,personal,0,0,0,airline,United ,2 / 1,1.4,30000,1000.0,3 months,miles,300,,No,Occasional United flyers wanting United perks without annual fee commitment,Brings United co-brand benefits to cost-conscious travelers flying a few times per year,No annual fee; 2× on United purchases; bonus miles on United anniversary; no foreign transaction fee,No free checked bag; smaller welcome bonus; limited lounge or upgrade benefits; best only for infrequent flyers
United Club Infinite Card,Chase,personal,525,525,525,airline,United ,4 / 2 / 1,1.6,100000,,,miles,1000,,No,Frequent United flyers wanting lounge access and premium perks,Top-tier United co-brand with full lounge membership,United Club membership included; free first and second checked bags; priority services; strong earning on United,High annual fee; best value only for heavy United loyalists; fewer non-United perks than flexible travel cards
Southwest Rapid Rewards Priority,Chase,personal,149,149,149,airline,Southwest ,3 / 2 / 1,1.5,75000,,,points,1125,,No,Southwest loyalists wanting perks and strong earn,Premium Southwest co-brand for frequent domestic flyers,7,500 anniversary points; $75 Southwest annual travel credit; 4 upgraded boardings per year,Limited to Southwest ecosystem; no international premium partners; annual fee only offset for regular flyers
Southwest Rapid Rewards Premier,Chase,personal,99,99,99,airline,Southwest ,3 / 2 / 1,1.4,50000,,,points,750,,No,Southwest flyers seeking a mid-tier card with solid perks,Mid-tier Southwest card balancing fee and benefits,6,000 anniversary points; 2 EarlyBird check-ins per year; solid earning on Southwest purchases,Fewer perks than Priority; no lounge access; still limited to Southwest routes
Marriott Bonvoy Bountiful,Chase,personal,250,250,250,hotel,Marriott ,6 / 4 / 2,1.6,85000,,,points,680,,No,Marriott loyalists wanting rich point earning and credits,Premium Marriott co-brand emphasizing earning over ultra-luxury perks,High multipliers at Marriott; annual free night award; bonus points on dining and groceries; elite night credits,High annual fee; best value only for frequent Marriott stays; fewer non-hotel perks than flexible travel cards
IHG One Rewards Premier,Chase,personal,99,99,99,hotel,IHG ,10 / 5 / 3,1.7,140000,,,points,952,,No,Frequent IHG guests wanting strong earning and free nights,Premier IHG co-brand with robust earning and anniversary night,Annual free night certificate; 4th night free on reward stays; high earning at IHG properties,Limited to IHG portfolio; fewer airline transfer options; benefits require using free night
IHG One Rewards Traveler,Chase,personal,0,0,0,hotel,IHG ,5 / 3 / 2,1.4,80000,,,points,560,,Yes,IHG fans who want no-fee earning,Entry-level IHG card to earn points without annual fee,No annual fee; bonus points on IHG stays; 4th night free on reward stays,No free night certificate; lower earning vs Premier; fewer elite benefits
Chase Sapphire Reserve for Business,Chase,business,550,550,550,travel,Sapphire ,,0.5,60000,,,points,600,,No,Business travelers wanting premium perks and flexible rewards,Business version of Sapphire Reserve targeting corporate owners,Priority Pass lounges; strong travel protections; high earning on travel and dining,High annual fee; best only for heavy business travel; limited small-business specific benefits
Ink Business Preferred Credit Card,Chase,business,95,95,95,travel,Ink ,,0.5,100000,8000.0,3 months,points,1000,,No,Businesses with large travel/advertising/cloud spend,High-limit business card maximizing travel and advertising categories,100k-point welcome offer; 3× on travel, shipping, advertising, telecom; strong cell phone protection,$95 annual fee; bonus categories capped; requires higher spend to justify
Ink Business Premier Credit Card,Chase,business,195,195,195,cashback,Ink ,2 / 2.5,2.1,1000,10000.0,3 months,dollars,1000,,No,High-spend businesses wanting large cash back on big purchases,Charge-style business card focused on large transactions,2.5% cash back on purchases over $5k; 2% on all others; strong protections; no preset spending limit,$195 annual fee; pay-in-full requirement; points not transferable to partners
United Business Card,Chase,business,99,99,99,airline,United ,2 / 1,1.5,100000,5000.0,3 months,miles,1000,,No,Small-business United flyers wanting perks and miles,Business companion to United personal cards with enhanced earning on business categories,Free checked bag; priority boarding; 2 United Club passes per year; bonus on United, gas, dining, office supply,Value tied to United loyalty; no lounge membership; foreign transaction fee
United Club Business Card,Chase,business,450,450,450,airline,United ,4 / 2 / 1,1.6,100000,5000.0,3 months,miles,1000,,No,Heavy United business travelers needing club access,Business version of United Club card with full lounge perks,United Club membership included; free checked bags; priority services; strong earning on United purchases,Very high annual fee; best only for frequent United flyers; limited non-United benefits
IHG One Rewards Premier Business,Chase,business,99,99,99,hotel,IHG ,10 / 5 / 3,1.7,140000,,,points,952,,No,IHG-focused businesses wanting strong earning and anniversary nights,Business-tailored IHG co-brand building on Premier benefits,Annual free night; 4th night free on reward stays; high earning at IHG properties,Limited to IHG ecosystem; requires regular stays to offset fee
World of Hyatt Business Credit Card,Chase,business,199,199,199,hotel,Hyatt ,9 / 4 / 2,1.9,60000,,,points,900,,No,Hyatt-loyal business travelers focusing on elite status and free nights,Business-focused Hyatt card emphasizing elite night credits and category bonuses,High earning at Hyatt; tier-qualifying night credits; bonus on common business categories,Hyatt footprint smaller than some rivals; high annual fee justified only with regular Hyatt stays
Capital One Platinum,Capital One,personal,0,0,0,credit_building,,,0.0,0,,,0,,No,Building or rebuilding credit with unsecured card and credit line increase path,Unsecured starter card for fair/limited credit with potential for automatic reviews and credit line growth,No annual fee; unsecured (no deposit required); automatic credit line increase reviews; reports to all bureaus; helps build positive payment history,No rewards earning; best only for credit building; limited benefits; foreign transaction fee; users should graduate to rewards cards after credit improves
Capital One Spark Cash,Capital One,business,0,0,0,cashback,Spark ,1.5,1.5,500,,,dollars,500,,No,Simple unlimited 1.5% cash back for small businesses wanting flat-rate earning,No-fee business cash back for straightforward expense tracking and earning without categories,Unlimited 1.5% cash back on all business purchases; no annual fee; easy expense management; employee cards at no cost; no FX fee,Lower earn than category-optimized business cards; no bonus categories; $500 welcome offer requires $4500 spend in 3 months; best for simplicity over maximization
Capital One Spark Cash Plus,Capital One,business,150,150,150,cashback,Spark ,2 / 5 travel portal,2.0,2000,,,dollars,2000,,No,High-spend businesses wanting unlimited 2% cash back on everything,Premium unlimited cash back for businesses with heavy monthly spend seeking simple strong earning,Unlimited 2% cash back on all purchases; 5% on hotels and rental cars via Capital One Travel; $2000 welcome bonus; no preset spending limit; no FX fee,First year annual fee waived then $150; charge card (pay in full monthly); requires excellent credit and high spend to justify; fewer perks than travel-focused biz cards
Capital One Spark Cash Select,Capital One,business,0,0,0,cashback,Spark ,1.5,1.5,500,,,dollars,500,,No,No-fee business cash back for startups or businesses with moderate spend,Starter business card with flat cash back and easier approval than Spark Cash Plus,No annual fee; 1.5% cash back on all purchases; easier credit approval; employee cards included; no FX fee,Lower earn rate than Spark Cash Plus; $500 welcome bonus smaller than premium competitors; no bonus categories; best as first business card
Capital One Venture X Business,Capital One,business,395,395,395,travel,,2 / 10 / 5,0.5,200000,,,miles,2000,,No,Premium business travel with lounge access strong portal earning and travel credits,Flagship business travel card competing with Amex Business Platinum at lower annual fee with better value proposition,Unlimited 2× miles (10× via Capital One Travel portal); $300 annual travel credit; Priority Pass + Plaza Premium lounges; 5× on hotels/car rentals; no FX fee; strong protections,$395 annual fee; 10× requires Capital One portal booking; 200k bonus requires $30k spend; fewer transfer partners than Amex; best for heavy business travel spend
Capital One Spark Miles,Capital One,business,0,0,0,travel,Spark ,2 / 5 travel portal,0.5,50000,,,miles,500,,No,Simple business travel rewards with 2× miles on everything and no annual fee,No-fee business travel card for straightforward miles earning without category tracking,Unlimited 2× miles on all purchases; 5× on hotels/car rentals via Capital One Travel; no annual fee; transfer to airline partners; no FX fee,Lower welcome bonus than competitors; no lounge access or premium perks; must book through Capital One portal for 5× bonus; best for light business travelers
Bank of America Customized Cash,Bank of America,personal,0,0,0,cashback,,3 / 2 / 1,1.7,200,,,dollars,200,0% for 15 months,Yes,Choosing your own 3% category each month from common spending areas,Flexible category optimization for users who want control over bonus earning without annual fee,3% cash back on category of choice each month; 2% at grocery stores and wholesale clubs; 1% elsewhere; Preferred Rewards boosts up to 5.25%; no annual fee,3% capped at $2500/quarter per category; must manually select category; foreign transaction fee; Preferred Rewards requires BoA banking relationship
